Situacao	Var_Desconto	Descricao	Codigo	Preco_Original	Preco_A_Vista	Preço_A_Credito	Parcela	Valor_Parcela	Produto	Desconsiderar	Desmembrar	Avaliacao
		"Smart Tv Tcl 50"" 4k Uhd Hdr Google Assistant Borda Fina 506p6..."	Cód. 1570652192	(0)			R$ 2.058,90cada	8x de R$ 257,36 s/juros	tv			
		"Smart Tv Lg 55"" 4k Quantum Dot Nanocell Com Inteligência Arti..."	Cód. 1571377262	(0)			R$ 4.399,00cada	8x de R$ 549,87 s/juros	tv			
		"Smart Tv Philco Ptv39g65n5ch D-led 39"" Bivolt"	Cód. 1567868040	(0)			R$ 2.498,00cada	8x de R$ 312,25 s/juros	tv			
OFERTA	-7%	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	Cód. 1570961364	(0)	R$ 2.549,90 cada		R$ 2.349,90cada		tv		8x de R$ 293,74 s/juros	
OFERTA	-23%	"Smart Tv 4k Lg Oled Evo 65"" Polegadas, Bluetooth, 120hz, Thin..."	Cód. 1571592316	(0)	R$ 16.305,98 cada		R$ 12.504,38cada		tv		8x de R$ 1.563,05 s/juros	
OFERTA	-10%	Tv 32” Philco Led Ptv32t10edp Hd Recepção Digital Bivolt	Cód. 1570848799	R$ 1.009,90 cada	R$ 908,91cada		à vista no pix		tv		R$ 1.009,90 em até 8x de R$ 126,24 s/juros	(0)
		Smart Tv Toshiba 50 Polegadas 4k 50c350l	Cód. 1570903612	(0)			R$ 2.499,00cada	8x de R$ 312,37 s/juros	tv			
		Smart Tv Samsung Uhd Processador Crystal 4k 55au7700 Tela Sem...	Cód. 1567494606	(0)			R$ 3.588,00cada	8x de R$ 448,50 s/juros	tv			
		"Smart Tv Samsung 43"" Uhd 4k 43cu7700 2023 Processador Crystal..."	Cód. 1571333654	(0)			R$ 3.049,00cada	8x de R$ 381,12 s/juros	tv			
		"Smart Tv Android Led 43"" Full Hd Tcl 43s5400a Google Assistan..."	Cód. 1571540589	(0)					tv		Produto Indisponível	
		Smart Tv 58” Philco 4k Ptv58g70r2csgbl Roku Tv Led Dolby Audi...	Cód. 1571199451	(0)			R$ 2.299,00cada	8x de R$ 287,37 s/juros	tv			
		"Smart Tv Samsung 70"" Uhd 4k 70cu7700 2023 Processador Crysta..."	Cód. 1571333661	(0)			R$ 4.324,90cada	8x de R$ 540,61 s/juros	tv			
OFERTA	-25%	"Samsung Smart Tv 75"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385060	(0)	R$ 10.999,00 cada		R$ 8.240,90cada		tv		8x de R$ 1.030,11 s/juros	
		"Smart Tv Samsung 55"" Uhd 4k 55cu7700 2023 Processador Crysta..."	Cód. 1571333659	(0)			R$ 3.019,00cada	8x de R$ 377,37 s/juros	tv			
		"Smart Tv Led 50"" Ultra Hd 4k Lg 50ur871c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492410	(0)			R$ 2.329,00cada	8x de R$ 291,12 s/juros	tv			
		Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente...	Cód. 1571511318	(0)			R$ 5.199,00cada	8x de R$ 649,87 s/juros	tv			
		"Samsung Smart Tv 55"" Qled 4k Q65c 2023 Modo Game Som Em Mov..."	Cód. 1571385062	(0)			R$ 5.399,00cada	8x de R$ 674,87 s/juros	tv			
OFERTA	-23%	Tv 32 Smart Hd Android Wifi Integrado Tl042m Multilaser	Cód. 1571587758	(0)	R$ 1.558,80 cada		R$ 1.198,80cada		tv		8x de R$ 149,85 s/juros	
OFERTA	-6%	"Smart Tv Led 43"" Google Tv Ultra Hd 4k Tcl 43p635 Comando De"	Cód. 1570851242	R$ 1.899,00 cada	R$ 1.785,06cada		à vista no pix		tv		R$ 1.899,00 em até 8x de R$ 237,37 s/juros	(1)
OFERTA	-5%	Smart Tv Philips 50 Polegadas Ambilight Led Ultra Hd 4k 50pug...	Cód. 1571111355	(0)	R$ 2.386,21 cada		R$ 2.259,90cada		tv		8x de R$ 282,49 s/juros	
		"Smart Tv Lg 4k Nanocell 55"" Polegadas 55nano77sra Bluetooth,"	Cód. 1571511320	(0)			R$ 2.649,00cada	8x de R$ 331,12 s/juros	tv			
OFERTA	-8%	Smart Tv Led 32 Polegadas 2 Hdmi 1 Usb Wi-fi Samsung Un32t430...	Cód. 1567043703	(4)	R$ 1.199,00 cada		R$ 1.099,00cada		tv		8x de R$ 137,37 s/juros	
