Situacao	Var_Desconto	Descricao	Codigo	Preco_Original	Preco_A_Vista	Preço_A_Credito	Parcela	Valor_Parcela	Produto	Desconsiderar	Desmembrar	Avaliacao
		Exaustor Para Banheiro Silent 100cz S&p 100mm 127v	Cód. 1571232924	(0)			R$ 228,99cada	2x de R$ 114,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Silent 100cz S&p 100mm 220v	Cód. 1571232922	(0)			R$ 228,99cada	2x de R$ 114,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Silent 300cz Plus S&p 150mm 220v	Cód. 1571293453	(0)			R$ 461,99cada	4x de R$ 115,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Silent 200cz Design 3c S&p 220v	Cód. 1571232914	(0)			R$ 349,99cada	3x de R$ 116,66 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Silent 200cz S&p 120mm 220v	Cód. 1571232916	(0)			R$ 309,99cada	3x de R$ 103,33 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Silent 200cz S&p 120mm 127v	Cód. 1571232925	(0)			R$ 309,99cada	3x de R$ 103,33 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-6%	Teclado Easy Touch Para Coifas Fogatti Modelo Atual	Cód. 1566936155	(0)	R$ 159,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 149,90cada	
OFERTA	-6%	Teclado Mecânico Para Coifas Fogatti Com Modelo Easy Mechanic	Cód. 1566936154	(0)	R$ 159,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 149,90cada	
		Ventokit Modelo Classic 80 (20 W) -para Ambiente Até 5 M²	Cód. 1566807596	(0)			R$ 324,00cada	3x de R$ 108,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Motor Exaustor Renovador Ar C 280 A 12m² Bivolt Ventokit Wdb	Cód. 1571419989	(0)			R$ 514,99cada	5x de R$ 103,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-10%	Exaustor para Banheiro 100mm 250V (220V) Ventisol	Cód. 88243554	(11)	R$ 121,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 109,71cada	
		Motor Ventilador Exaustor Vix 500mm Rqa4e-500 220 Volts	Cód. 1566807038	(0)			R$ 628,40cada	6x de R$ 104,73 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-8%	Exaustor 50cm Axial Cinza 127v 250w Venti Delta Affara/cinza	Cód. 1570800069	(0)	R$ 483,90 cada		R$ 443,90cada		cozinhas-e-areas-de-servico-exaustores		4x de R$ 110,97 s/juros	
OFERTA	-7%	Exaustor Churrasqueira Residencial Alvenaria S/ Soquete 25cm	Cód. 1567510596	(0)	R$ 215,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 199,90cada	
		Regulador De Vazão De Ar Rva 100	Cód. 1566953263	(1)					cozinhas-e-areas-de-servico-exaustores		R$ 51,42cada	
		Exaustor Mared 20cm Inox Alta Vazão Industrial Parede Coifa	Cód. 1568025588	(0)			R$ 338,90cada	3x de R$ 112,97 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Móvel 40cm Goar Em40m42p 220v - Em40m42p	Cód. 1568126536	(0)			R$ 2.051,29cada	8x de R$ 256,41 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-9%	Exaustor Ventokit M 280 D Sensor De Presença Bivolt	Cód. 1571598129	(0)	R$ 571,90 cada		R$ 519,90cada		cozinhas-e-areas-de-servico-exaustores		5x de R$ 103,98 s/juros	
OFERTA	-5%	Exaustor Ventokit M 80 A Nm C/ Reg Bivolt	Cód. 1571598130	(0)	R$ 356,16 cada		R$ 336,16cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 112,05 s/juros	
		Exaustor Para Banheiro Decor 200c S&p 120mm 127v	Cód. 1571227618	(0)			R$ 248,99cada	2x de R$ 124,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Regulador De Vazão De Ar Rva 200mm Plástico Sicflux	Cód. 1571342708	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 137,99cada	
		Exaustor Ventokit Vk Booster 300 220v	Cód. 1571595556	(0)			R$ 220,00cada	2x de R$ 110,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Regulador De Vazão De Ar Rva 125mm Plástico Sicflux	Cód. 1571356884	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 80,99cada	
		Exaustor Para Banheiro Decor 100c S&p 100mm 220v	Cód. 1571232918	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 199,99cada	
		Exaustor Para Banheiro Sonora 11 – Bivolt	Cód. 1566953251	(0)			R$ 258,99cada	2x de R$ 129,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Residencial Luxo Aerodelta 25cm Bivolt Venti-delta	Cód. 1567613896	(0)			R$ 299,00cada	2x de R$ 149,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 150 – 220 Volts	Cód. 1566953257	(0)			R$ 463,57cada	4x de R$ 115,89 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 100 – 220 Volts	Cód. 1566953258	(0)			R$ 428,80cada	4x de R$ 107,20 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Sonora 18 – Bivolt	Cód. 1566953249	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 169,46cada	
		Exaustor Churrasqueira Residencial Duto Redondo 27cm Bivolt V...	Cód. 1567510593	(0)			R$ 229,90cada	2x de R$ 114,95 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-4%	Exaustor De Cozinha Tron 250mm Cromado Bivolt	Cód. 1567464703	R$ 259,90 cada	R$ 249,50cada		à vista no pix		cozinhas-e-areas-de-servico-exaustores		R$ 259,90 em até 2x de R$ 129,95 s/juros	(1)
		Exaustor Para Banheiro Mega 34 6'' Bivolt	Cód. 1566953252	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 152,80cada	
		Exaustor Industrial/comercial 30cm Turbão 220v	Cód. 1566823222	(0)			R$ 299,90cada	2x de R$ 149,95 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Filtro De Ar Para Coifa 60cx / 90cx / 90cxs Electrolux	Cód. 1566841021	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 50,00cada	
		Exaustor Industrial/comercial 30cm Turbão Alta Vazão 220v	Cód. 1566823230	(0)			R$ 357,90cada	3x de R$ 119,30 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 40cm Turbão 127v	Cód. 1566823229	(0)			R$ 331,90cada	3x de R$ 110,63 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 50cm Turbão 220v	Cód. 1566823221	(0)			R$ 390,90cada	3x de R$ 130,30 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 30cm Turbão Alta Vazão 127v	Cód. 1566823223	(0)			R$ 358,90cada	3x de R$ 119,63 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 40cm Turbão 220v	Cód. 1566823210	(0)			R$ 331,90cada	3x de R$ 110,63 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 50cm Turbão 127v	Cód. 1566823211	(0)			R$ 373,90cada	3x de R$ 124,63 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Caixa De Filtragem Filbox Quad150	Cód. 1566953262	(0)			R$ 405,28cada	4x de R$ 101,32 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor 50cm Vent New Monovolt Alta Vazão 220v	Cód. 1566823216	(0)			R$ 417,90cada	4x de R$ 104,47 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 40cm Turbão Alta Vazão 127v	Cód. 1566823219	(0)			R$ 400,90cada	4x de R$ 100,22 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 40cm Turbão Alta Vazão 220v	Cód. 1566823233	(0)			R$ 400,90cada	4x de R$ 100,22 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Industrial/comercial 50cm Turbão Alta Vazão 127v	Cód. 1566823228	(0)			R$ 428,90cada	4x de R$ 107,22 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Master Fan Black - Treviso	Cód. 1570906157	(0)			R$ 699,90cada	6x de R$ 116,65 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Master Fan Black Plus - Treviso	Cód. 1570906156	(0)			R$ 729,90cada	7x de R$ 104,27 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 250 Sicflux 220v	Cód. 1569810587	(0)			R$ 2.664,00cada	8x de R$ 333,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-150 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569820399	(0)			R$ 944,60cada	8x de R$ 118,07 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-100 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569819876	(0)			R$ 892,50cada	8x de R$ 111,56 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Sicflux Mega 18 Bivolt 150mm 13w 110v/...	Cód. 1571199409	(0)			R$ 234,99cada	2x de R$ 117,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Decor 200c S&p 120mm 220v	Cód. 1571227617	(0)			R$ 248,99cada	2x de R$ 124,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Decor 300c S&p 127v / 220v 150mm 127v	Cód. 1571234828	(0)			R$ 332,99cada	3x de R$ 111,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Pesado 50cm 1hp Goar Ep50 220v - Em50m42p	Cód. 1568126537	(0)			R$ 2.678,89cada	8x de R$ 334,86 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-8%	Exaustor Alta Rotação Bivolt 20cm Axial Venti Delta 165 Preto	Cód. 1570800071	(0)	R$ 500,90 cada		R$ 459,90cada		cozinhas-e-areas-de-servico-exaustores		4x de R$ 114,97 s/juros	
		"Duto Flexível Sem Isolamento 5"" 131mm (rolo C/ 10 Mts)"	Cód. 1569833781	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 92,00cada	
		Exaustor Maxx Mini 125 Sicflux Bivolt	Cód. 1569819719	(0)			R$ 366,00cada	3x de R$ 122,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-355 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569821311	(0)			R$ 4.151,65cada	8x de R$ 518,96 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-125 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569820400	(0)			R$ 892,50cada	8x de R$ 111,56 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-250 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569820699	(0)			R$ 1.276,00cada	8x de R$ 159,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Aci-200 Tipo Centrifugo Inline Sicflux 220v	Cód. 1569820700	(0)			R$ 1.248,59cada	8x de R$ 156,07 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 125 Sicflux 220v	Cód. 1569810588	(0)			R$ 717,90cada	7x de R$ 102,56 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx Mini 100 Sicflux Bivolt	Cód. 1569818127	(0)			R$ 322,48cada	3x de R$ 107,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit In Line Nm 150 C/ Reg Motor Bivolt	Cód. 1571595558	(0)			R$ 335,60cada	3x de R$ 111,87 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit In Line 150 Nm Turbo C/ Reg Motor 40w Bivolt	Cód. 1571595554	(0)			R$ 350,00cada	3x de R$ 116,67 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit In Line Nm 280 C/ Reg 220v.	Cód. 1571595557	(0)			R$ 450,00cada	4x de R$ 112,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit M 150 A Nm Bivolt	Cód. 1571595589	(0)			R$ 320,00cada	3x de R$ 106,67 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-6%	Air Brise Completo 127v	Cód. 1571595445	(0)	R$ 165,00 cada				cozinhas-e-areas-de-servico-exaustores		R$ 155,00cada	
OFERTA	-14%	Exaustor Ventokit Air Brise 160 Completo 127v	Cód. 1571598659	(0)	R$ 199,00 cada				cozinhas-e-areas-de-servico-exaustores		R$ 170,00cada	
OFERTA	-7%	Exaustor Ventokit 280 M/h 40w 12m² 150mm New Classic Bivolt	Cód. 1571598661	(0)	R$ 426,90 cada		R$ 393,90cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 131,30 s/juros	
OFERTA	-7%	Exaustor Ventokit In Line Nm 80 Motor C/ Reg Bivolt	Cód. 1571598133	(0)	R$ 296,80 cada		R$ 276,00cada		cozinhas-e-areas-de-servico-exaustores		2x de R$ 138,00 s/juros	
OFERTA	-9%	Exaustor Ventokit In Line Nm 150 Turbo Motor 40w Bivolt	Cód. 1571598137	(0)	R$ 369,00 cada		R$ 335,00cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 111,67 s/juros	
		Motor Ventilador Exaustor Vix 400mm 380 Volts	Cód. 1566807041	(0)			R$ 501,50cada	5x de R$ 100,30 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit M 280 D Sensor De Presença Bivolt Acessório...	Cód. 1571598662	(0)			R$ 499,00cada	4x de R$ 124,75 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor De Ambientes Itc 350 Motor Blindado 92w Industrial 1...	Cód. 1571598135	(0)			R$ 350,00cada	3x de R$ 116,67 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-8%	Exaustor 30cm Axial Cinza 220v 180w Venti Delta Affara/cinza	Cód. 1568876363	(0)	R$ 324,90 cada		R$ 297,90cada		cozinhas-e-areas-de-servico-exaustores		2x de R$ 148,95 s/juros	
		Exaustor Para Banheiro Decor 100c S&p 100mm 127v	Cód. 1571232921	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 199,99cada	
		Exaustor Baixo Ruído Mdt 16 – Bivolt	Cód. 1566953259	(1)					cozinhas-e-areas-de-servico-exaustores		R$ 89,00cada	
		Exaustor Baixo Ruído Mdt 11 – Bivolt	Cód. 1566953248	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 103,47cada	
		Exaustor Para Banheiro Sicflux Mega 10 Bivolt 100mm 13w 110v/...	Cód. 1571199410	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 168,99cada	
Veneziana Com Filtro Para Ventilador 20x20cm De Painel Elétri...	Cód. 1571486487	(0)	R$ 183,00cada	Cód. 85479821	(2)		R$ 749,90cada		cozinhas-e-areas-de-servico-exaustores		7x de R$ 107,13 s/juros	Exaustor para Cozinha Master Fan Luxo Treviso
		Exaustor Ventokit In Line Nm 280 C/ Reg 220v.	Cód. 1571595557	(0)			R$ 450,00cada	4x de R$ 112,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Ventokit In Line 150 Nm Turbo C/ Reg Motor 40w Bivolt	Cód. 1571595554	(0)			R$ 350,00cada	3x de R$ 116,67 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-9%	Exaustor Ventokit M 280 D Sensor De Presença Bivolt	Cód. 1571598129	(0)	R$ 571,90 cada		R$ 519,90cada		cozinhas-e-areas-de-servico-exaustores		5x de R$ 103,98 s/juros	
OFERTA	-5%	Exaustor Ventokit M 80 A Nm C/ Reg Bivolt	Cód. 1571598130	(0)	R$ 356,16 cada		R$ 336,16cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 112,05 s/juros	
		Exaustor Residencial Drywall Bivolt 25cm Com 2 Grades Ventima...	Cód. 1569931665	(0)			R$ 239,90cada	2x de R$ 119,95 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-7%	Exaustor Ventokit In Line Nm 80 Motor C/ Reg Bivolt	Cód. 1571598133	(0)	R$ 296,80 cada		R$ 276,00cada		cozinhas-e-areas-de-servico-exaustores		2x de R$ 138,00 s/juros	
OFERTA	-9%	Exaustor Ventokit In Line Nm 150 Turbo Motor 40w Bivolt	Cód. 1571598137	(0)	R$ 369,00 cada		R$ 335,00cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 111,67 s/juros	
OFERTA	-14%	Exaustor Ventokit Air Brise 160 Completo 127v	Cód. 1571598659	(0)	R$ 199,00 cada				cozinhas-e-areas-de-servico-exaustores		R$ 170,00cada	
		Motor Ventilador Exaustor Vix 400mm 380 Volts	Cód. 1566807041	(0)			R$ 501,50cada	5x de R$ 100,30 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Residencial Luxo Aerodelta 25cm Bivolt Venti-delta	Cód. 1567613896	(0)			R$ 299,00cada	2x de R$ 149,50 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 100 – 220 Volts	Cód. 1566953258	(0)			R$ 428,80cada	4x de R$ 107,20 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Maxx 150 – 220 Volts	Cód. 1566953257	(0)			R$ 463,57cada	4x de R$ 115,89 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Decor 100c S&p 100mm 127v	Cód. 1571232921	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 199,99cada	
		Exaustor Churrasqueira Residencial Duto Redondo 27cm Bivolt V...	Cód. 1567510593	(0)			R$ 229,90cada	2x de R$ 114,95 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-8%	Exaustor 30cm Axial Cinza 220v 180w Venti Delta Affara/cinza	Cód. 1568876363	(0)	R$ 324,90 cada		R$ 297,90cada		cozinhas-e-areas-de-servico-exaustores		2x de R$ 148,95 s/juros	
OFERTA	-6%	Teclado Easy Touch Para Coifas Fogatti Modelo Atual	Cód. 1566936155	(0)	R$ 159,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 149,90cada	
OFERTA	-6%	Teclado Mecânico Para Coifas Fogatti Com Modelo Easy Mechanic	Cód. 1566936154	(0)	R$ 159,90 cada				cozinhas-e-areas-de-servico-exaustores		R$ 149,90cada	
		Motor Exaustor Renovador Ar C 280 A 12m² Bivolt Ventokit Wdb	Cód. 1571419989	(0)			R$ 514,99cada	5x de R$ 103,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Médio 40cm 1.750r Exaustão Novo Ventilação 220v	Cód. 1567313770	(0)			R$ 400,90cada	4x de R$ 100,22 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Motor Ventilador Exaustor Vix 630mm 220 Volts	Cód. 1566807037	(0)			R$ 812,10cada	8x de R$ 101,51 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Microventilador De Ambientes Ventisilva Canário 120mm Bivolt	Cód. 1571419993	(0)			R$ 316,99cada	3x de R$ 105,66 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Renovador De Ar Sicflux Splitvent 100mm Bivolt	Cód. 1571419992	(0)			R$ 404,99cada	4x de R$ 101,25 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Regulador De Vazão De Ar Rva 200mm Plástico Sicflux	Cód. 1571342708	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 137,99cada	
		Exaustor Para Banheiro Sicflux Mega 18 Bivolt 150mm 13w 110v/...	Cód. 1571199409	(0)			R$ 234,99cada	2x de R$ 117,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Decor 200c S&p 120mm 220v	Cód. 1571227617	(0)			R$ 248,99cada	2x de R$ 124,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Sonora 11 – Bivolt	Cód. 1566953251	(0)			R$ 258,99cada	2x de R$ 129,49 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor Para Banheiro Decor 100c S&p 100mm 220v	Cód. 1571232918	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 199,99cada	
OFERTA	-4%	Exaustor De Cozinha Tron 250mm Cromado Bivolt	Cód. 1567464703	R$ 259,90 cada	R$ 249,50cada		à vista no pix		cozinhas-e-areas-de-servico-exaustores		R$ 259,90 em até 2x de R$ 129,95 s/juros	(1)
		Exaustor Para Banheiro Mega 34 6'' Bivolt	Cód. 1566953252	(0)					cozinhas-e-areas-de-servico-exaustores		R$ 152,80cada	
		Exaustor 50cm Axial Cinza 220v 250w Venti Delta Affara/cinza	Cód. 1570800070	(0)			R$ 473,00cada	4x de R$ 118,25 s/juros	cozinhas-e-areas-de-servico-exaustores			
OFERTA	-11%	Exaustor Ventokit Hight Class C 80 Bivolt.	Cód. 1571598132	(0)	R$ 399,00 cada		R$ 352,00cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 117,33 s/juros	
OFERTA	-9%	Kit Instalação Aquecedor A Gás Econoflex D.100 X 370mm Cano	Cód. 1571598660	(0)	R$ 125,00 cada				cozinhas-e-areas-de-servico-exaustores		R$ 113,00cada	
OFERTA	-9%	Exaustor Itc 150 Banheiro C/ Válvula A. Retorno 220v	Cód. 1571598138	(0)	R$ 143,00 cada				cozinhas-e-areas-de-servico-exaustores		R$ 130,00cada	
OFERTA	-11%	Exaustor Ventokit Hight Class C 160 Bivolt.	Cód. 1571595590	(0)	R$ 424,00 cada		R$ 377,00cada		cozinhas-e-areas-de-servico-exaustores		3x de R$ 125,67 s/juros	
		Exaustor Para Banheiro Decor 300c S&p 127v / 220v 150mm 220v	Cód. 1571234827	(0)			R$ 332,99cada	3x de R$ 111,00 s/juros	cozinhas-e-areas-de-servico-exaustores			
		Exaustor De Banheiro Tron Residencial 125mm Branco - 127v	Cód. 1567464702	(0)			R$ 259,90cada	2x de R$ 129,95 s/juros	cozinhas-e-areas-de-servico-exaustores			
Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 2,...	Cód. 1570552481	R$ 32,50cada	OFERTA	Kit Aplique Boiserie Z102 - 4 peças 20x20cm	Cód. 89842081		R$ 114,90 cada		boiserie		R$ 68,90cada	-40%
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751790	R$ 190,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751786	R$ 76,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570582274	R$ 121,50cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751804	R$ 190,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751795	R$ 114,00cada					boiserie			
OFERTA	-10%	Moldura 3cm Ondulada (pack com 04un) Boiserie Rodameio Santa	Cód. 1571276639	R$ 72,28 cada	R$ 65,05cada				boiserie		à vista no pix	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 3,...	Cód. 1570552488	R$ 38,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570555221	R$ 176,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 2,...	Cód. 1570552497	R$ 152,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 2,...	Cód. 1570552480	R$ 38,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751802	R$ 38,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570555205	R$ 88,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570555222	R$ 162,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 3,...	Cód. 1570552487	R$ 76,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570555215	R$ 132,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751797	R$ 76,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *saturno	Cód. 1570751785	R$ 114,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *Terra 2,...	Cód. 1570346442	R$ 35,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570431328	R$ 202,50cada					boiserie		2x de R$ 101,25 s/juros	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570359542	R$ 114,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570431329	R$ 162,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570431330	R$ 121,50cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570359541	R$ 105,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570555212	R$ 132,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570359531	R$ 38,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570359539	R$ 152,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 2,...	Cód. 1570552492	R$ 97,50cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *orion 2,...	Cód. 1570552468	R$ 76,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570555220	R$ 202,50cada					boiserie		2x de R$ 101,25 s/juros	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570555223	R$ 81,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 3,...	Cód. 1570555218	R$ 44,00cada					boiserie			
OFERTA	-10%	Moldura 3cm Lisa Reta (pack com 04un) Boiserie Rodameio Santa...	Cód. 1571276642	R$ 72,28 cada	R$ 65,05cada				boiserie		à vista no pix	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 2...	Cód. 1570314076	R$ 99,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 4...	Cód. 1570338581	R$ 63,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 4...	Cód. 1570429027	R$ 252,00cada					boiserie		2x de R$ 126,00 s/juros	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 4...	Cód. 1570346443	R$ 315,00cada					boiserie		3x de R$ 105,00 s/juros	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *terra 2,...	Cód. 1570431331	R$ 81,00cada					boiserie			
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 2...	Cód. 1570314077	R$ 247,50cada					boiserie		2x de R$ 123,75 s/juros	
		Boiserie Moldura Rodameio De Eva Adesivo E Flexível *sirius 2...	Cód. 1570314075	R$ 49,50cada					boiserie			
