Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-21%	Smart Tv 32” Philco Led Ptv32g7er2cpblh Dolby Audio Bivolt	Cód. 1571503801		R$ 1.399,90 cada	R$ 1.099,90cada	tv	8x de R$ 137,49 s/juros	
OFERTA	-13%	"Smart Tv 32"" Britânia Btv32g23agssgblh Led Dolby Audio Bivolt"	Cód. 1571598070		R$ 1.499,90 cada	R$ 1.299,90cada	tv	8x de R$ 162,49 s/juros	
OFERTA	-38%	"Smart Tv Philco 43"" Ptv43g50sn Led - Netflix Bivolt"	Cód. 1566832824		R$ 2.759,90 cada	R$ 1.699,90cada	tv	8x de R$ 212,49 s/juros	
		"Samsung Smart Tv 75"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385060		R$ 13.499,00cada		tv	8x de R$ 1.687,37 s/juros	
		"Smart Tv Lg 86"" 4k Nanocell Com Inteligência Artificial Ai Th..."	Cód. 1570765749		R$ 9.755,70cada		tv	8x de R$ 1.219,46 s/juros	
OFERTA	-24%	Smart Tv 50” Philco 4k Ptv50g10ag11sk Led Dolby Audio Bivolt	Cód. 1571069607		R$ 2.999,90 cada	R$ 2.259,90cada	tv	8x de R$ 282,49 s/juros	
OFERTA	-15%	"Smart Tv Lg 50"" 4k Nanocell Com Inteligência Artificial Ai Th..."	Cód. 1570493810		R$ 3.590,30 cada	R$ 3.050,30cada	tv	8x de R$ 381,29 s/juros	
		Tv 39” Philco Led Ptv39n87d Hd Recepção Digital Bivolt	Cód. 1552051849		R$ 1.244,44cada		tv	8x de R$ 155,55 s/juros	
OFERTA	-38%	"Smart Tv Philco 43"" Ptv43g50sn Led - Netflix Bivolt"	Cód. 1566832824		R$ 2.759,90 cada	R$ 1.699,90cada	tv	8x de R$ 212,49 s/juros	
OFERTA	-11%	Tv 50p Aoc Led Roku Smart 4k Wifi - 50u6125/78g	Cód. 1571024716		R$ 2.428,90 cada	R$ 2.138,90cada	tv	8x de R$ 267,36 s/juros	
OFERTA	-32%	"Smart Tv 4k Lg Oled Evo 55"" Polegadas, Bluetooth, 120hz, Thin..."	Cód. 1571598071		R$ 10.899,00 cada	R$ 7.386,00cada	tv	8x de R$ 923,25 s/juros	
OFERTA	-17%	"Smart Tv Britânia 42"" Btv42g70n5cf Full Hd Led - Netflix Bivo..."	Cód. 1567965855		R$ 2.299,90 cada	R$ 1.889,90cada	tv	8x de R$ 236,24 s/juros	
		"Tv 24"" Philco Led Ptv24n19d Hd Receptor Digital Bivolt"	Cód. 1567296780		R$ 919,99cada		tv	8x de R$ 115,00 s/juros	
		"Samsung Smart Gaming Tv 50"" Neo Qled 4k 50qn90b 2022 Mini Le..."	Cód. 1570015725		R$ 8.299,00cada		tv	8x de R$ 1.037,37 s/juros	
		"Smart Tv Led 55"" Philips 5pug7408/78 4k Uhd Com Wi-fi, Com 2"	Cód. 1571615140		R$ 2.599,00cada		tv	8x de R$ 324,87 s/juros	
		"Smart Tv Led 32"" Hd Multilaser Tl020 Conversor Digital Extern..."	Cód. 1567187262		R$ 1.699,00cada		tv	8x de R$ 212,37 s/juros	
		Smart Tv Oled 4k Uhd 55 Polegadas Samsung 4 Hdmi 2 Usb 144hz	Cód. 1571483066		R$ 8.699,90cada		tv	8x de R$ 1.087,49 s/juros	
OFERTA	-26%	Smart Tv 42” Philco Led Ptv42g52rcf Roku Tv Dolby Audio Bivolt	Cód. 1567868039		R$ 2.299,90 cada	R$ 1.699,90cada	tv	8x de R$ 212,49 s/juros	
OFERTA	-10%	Smart Tv Toshiba 55 Polegadas 4k 55c350l	Cód. 1571026032		R$ 3.999,90 cada	R$ 3.599,90cada	tv	8x de R$ 449,99 s/juros	
		Smart Tv 86 4k Lg Uhd Thinq Ai Alexa Google Assistente 86ur87...	Cód. 1571492416		R$ 9.213,60cada		tv	8x de R$ 1.151,70 s/juros	
		Smart Tv Led 32 Polegadas Aoc Roku Hd Com Wi-fi Entradas Hdmi...	Cód. 1567054677		R$ 1.117,00cada		tv	8x de R$ 139,62 s/juros	
		"Smart Tv Lg 55"" 4k Quantum Dot Nanocell Com Inteligência Arti..."	Cód. 1571377262		R$ 4.736,90cada		tv	8x de R$ 592,11 s/juros	
		"Smart Tv Samsung 43"" Uhd 4k 43cu7700 2023 Processador Crystal..."	Cód. 1571333654		R$ 2.771,10cada		tv	8x de R$ 346,39 s/juros	
OFERTA	-8%	"Smart Tv Aiwa 32"" Android, Hd, Comando De Voz, Dolby Áudio, H..."	Cód. 1571099297		R$ 1.593,40 cada	R$ 1.453,00cada	tv	8x de R$ 181,62 s/juros	
OFERTA	-26%	Smart Tv Samsung Crystal Uhd 4k 50cu8000 2023 Design Airslim	Cód. 1571336244		R$ 3.359,00 cada	R$ 2.480,29cada	tv	8x de R$ 310,04 s/juros	
		"Tv Lg 50"" Led 4k Uhd Smart Pro 50uq801c0sb.bwz"	Cód. 1570692512		R$ 3.499,00cada		tv	8x de R$ 437,37 s/juros	
		Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente...	Cód. 1571511318		R$ 5.199,00cada		tv	8x de R$ 649,87 s/juros	
OFERTA	-7%	"Smart Tv Android Led 43"" Full Hd Tcl 43s615 2 Hdmi 1 Usb Wi-f..."	Cód. 1568065821		R$ 2.338,80 cada	R$ 2.158,80cada	tv	8x de R$ 269,85 s/juros	
		"Smart Tv Led 75"" Tcl P735 4k Uhd Hdr Dolby Vision"	Cód. 1570765757		R$ 6.839,00cada		tv	8x de R$ 854,87 s/juros	
OFERTA	-22%	"Samsung Smart Tv 55"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385061		R$ 4.999,00 cada	R$ 3.858,29cada	tv	8x de R$ 482,29 s/juros	
		Smart Tv Dled 50 4k Multi 3 Hdmi 2 Usb Wi-fi - Tl032m	Cód. 1571389672		R$ 3.290,00cada		tv	8x de R$ 411,25 s/juros	
		Smart Tv 65 Philips 4k 65pug7408 Google Tv Bluetooth	Cód. 1571567803		R$ 3.999,89cada		tv	8x de R$ 499,99 s/juros	
		"Samsung Smart Tv 32"" Qled The Frame 2022 32ls03b Tela Matte"	Cód. 1570438114		R$ 2.851,10cada		tv	8x de R$ 356,39 s/juros	
		"Samsung Smart Tv 65"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385057		R$ 6.063,90cada		tv	8x de R$ 757,99 s/juros	
		"Samsung Smart Tv 50"" Qled The Frame 2022 50ls03b Tela Matte"	Cód. 1569938133		R$ 3.858,29cada		tv	8x de R$ 482,29 s/juros	
		"Samsung Smart Tv 85"" Crystal Uhd 4k 85bu8000 2022 Painel Dyn..."	Cód. 1569938127		R$ 9.699,00cada		tv	8x de R$ 1.212,37 s/juros	
OFERTA	-14%	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55...	Cód. 1571592315		R$ 9.643,30 cada	R$ 8.260,90cada	tv	8x de R$ 1.032,61 s/juros	
OFERTA	-28%	"Samsung Smart Tv 75"" Qled The Frame 2022 75ls03b Tela Matte"	Cód. 1569938132		R$ 17.399,00 cada	R$ 12.399,00cada	tv	8x de R$ 1.549,87 s/juros	
OFERTA	-21%	Smart Tv 65 Samsung Business Uhd 4k Bluetooth 3 Hdmi, 1 Usb,	Cód. 1567588963		R$ 4.699,00 cada	R$ 3.699,00cada	tv	8x de R$ 462,37 s/juros	
OFERTA	-42%	Smart Tv 40” Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B...	Cód. 1571389671		R$ 2.799,90 cada	R$ 1.599,90cada	tv	8x de R$ 199,99 s/juros	
		Smart Tv 58” Philco 4k Ptv58g70rcbl Roku Tv Led Dolby Audio B...	Cód. 1567868037		R$ 3.149,90cada		tv	8x de R$ 393,74 s/juros	
OFERTA	-7%	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	Cód. 1570961364		R$ 2.549,90 cada	R$ 2.349,90cada	tv	8x de R$ 293,74 s/juros	
OFERTA	-12%	Smart Tv Android D-led 4k 50 Pol 3 Hdmi 2 Usb Wi-fi Bl-02 Aiwa	Cód. 1571176427		R$ 3.537,00 cada	R$ 3.083,40cada	tv	8x de R$ 385,42 s/juros	
		"Smart Tv Led Hq Hd 32"" Hqstv32np - Bivolt"	Cód. 1568255406		R$ 919,00cada		tv	8x de R$ 114,87 s/juros	
OFERTA	-28%	"Samsung Smart Tv 75"" Qled The Frame 2022 75ls03b Tela Matte"	Cód. 1569938132		R$ 17.399,00 cada	R$ 12.399,00cada	tv	8x de R$ 1.549,87 s/juros	
		Smart Tv Toshiba 65 Polegadas 4k 65c350l	Cód. 1570903611		R$ 4.099,00cada		tv	8x de R$ 512,37 s/juros	
OFERTA	-14%	Smart Tv 55 4k Lg 120hz Freesync Thinq Ai Alexa Google Oled55...	Cód. 1571592315		R$ 9.643,30 cada	R$ 8.260,90cada	tv	8x de R$ 1.032,61 s/juros	
