Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-36%	Smart Tv 58” Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	Cód. 1570679924		R$ 3.999,90 cada	R$ 2.559,90cada	tv	8x de R$ 319,99 s/juros	
		Smart Tv 86 4k Lg Uhd Thinq Ai Alexa Google Assistente 86ur87...	Cód. 1571492416		R$ 8.755,00cada		tv	8x de R$ 1.094,37 s/juros	
		"Samsung Smart Tv 32"" Qled The Frame 2023 Ls03c Tela Matte D..."	Cód. 1571440093		R$ 3.429,00cada		tv	8x de R$ 428,62 s/juros	
		Smart Tv 65 Philips 4k 65pug7408 Google Tv Bluetooth	Cód. 1571567803		R$ 3.999,89cada		tv	8x de R$ 499,99 s/juros	
		"Smart Tv Led 55"" Philips 5pug7408/78 4k Uhd Com Wi-fi, Com 2"	Cód. 1571615140		R$ 2.599,00cada		tv	8x de R$ 324,87 s/juros	
		"Samsung Smart Tv 85"" Crystal Uhd 4k 85bu8000 2022 Painel Dyn..."	Cód. 1569938127		R$ 9.699,00cada		tv	8x de R$ 1.212,37 s/juros	
		Tv Philips 65 Smart 4k Mini Led Ambilight Android 65pml9507/...	Cód. 1571099229		R$ 8.599,00cada		tv	8x de R$ 1.074,87 s/juros	
		Smart Tv Dled 50 4k Multi 3 Hdmi 2 Usb Wi-fi - Tl032m	Cód. 1571389672		R$ 2.399,00cada		tv	8x de R$ 299,87 s/juros	
OFERTA	-35%	"Samsung Smart Tv 55"" Qled The Frame 2022 55ls03b Tela Matte"	Cód. 1569938131		R$ 6.799,00 cada	R$ 4.399,00cada	tv	8x de R$ 549,87 s/juros	
OFERTA	-23%	Smart Tv Samsung Crystal Uhd 4k 50cu8000 2023 Design Airslim	Cód. 1571336244		R$ 3.359,00 cada	R$ 2.586,29cada	tv	8x de R$ 323,29 s/juros	
OFERTA	-8%	"Smart Tv Qled 75"" Google Tv Uhd 4k Tcl C835 Comando De Voz Hd..."	Cód. 1570851235		R$ 8.999,00 cada	R$ 8.279,08cada	tv	R$ 8.999,00 em até 8x de R$ 1.124,87 s/juros	à vista no pix
OFERTA	-11%	"Samsung Smart Tv 65"" Qled 4k Q70c 2023 Modo Game Som Em Mov..."	Cód. 1571385057		R$ 6.199,00 cada	R$ 5.511,89cada	tv	8x de R$ 688,99 s/juros	
OFERTA	-19%	"Smart Tv Aiwa 32"" Android, Hd, Comando De Voz, Dolby Áudio, H..."	Cód. 1571099297		R$ 1.551,19 cada	R$ 1.248,79cada	tv	8x de R$ 156,10 s/juros	
OFERTA	-7%	Smart Tv 32” Philco Led Ptv32g7er2cpblh Dolby Audio Bivolt	Cód. 1571503801		R$ 1.399,90 cada	R$ 1.299,90cada	tv	8x de R$ 162,49 s/juros	
OFERTA	-28%	"Smart Tv Led 50"" Ultra Hd 4k Lg 50ur871c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492410		R$ 3.199,00 cada	R$ 2.299,00cada	tv	8x de R$ 287,37 s/juros	
		"Smart Tv Lg Lcd 75"" Uhd Thinq Ai Hdr Bluetooth Alexa Google A..."	Cód. 1571555923		R$ 5.417,80cada		tv	8x de R$ 677,22 s/juros	
OFERTA	-50%	Tv 24” Philco Led Ptv24n91dfbrh Hd Receptor Digital Bivolt	Cód. 1570667691		R$ 1.499,90 cada	R$ 739,90cada	tv	7x de R$ 105,70 s/juros	
OFERTA	-17%	"Smart Tv Samsung 55"" Crystal Uhd 4k 55cu8000 2023 Painel Dyna..."	Cód. 1571336243		R$ 3.669,00 cada	R$ 3.031,49cada	tv	8x de R$ 378,94 s/juros	
OFERTA	-8%	"Smart Tv Tcl 65"" 4k Uhd Hdr Dolby Vision Borda Fina 65p735 –"	Cód. 1570851240		R$ 3.399,00 cada	R$ 3.127,08cada	tv	R$ 3.399,00 em até 8x de R$ 424,87 s/juros	à vista no pix
OFERTA	-16%	Smart Tv 50” Philco 4k Ptv50g70r2csgbl Led Dolby Audio Bivolt	Cód. 1571158002		R$ 2.399,90 cada	R$ 1.999,90cada	tv	8x de R$ 249,99 s/juros	
