Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
		Smart Tv 86 4k Lg Uhd Thinq Ai Alexa Google Assistente 86ur87	1571492416				Televisao	2023-10-05
Oferta	13	Smart Tv Qn75qn85cagxzd 4k 75 Polegadas Neo Qled 4 Hdmi 120hz	1571457358			13673.89	Televisao	2023-10-05
		Smart Tv Led 50 Uhd 4k, Design Sem Bordas, Google Assistant	1570573608		1888.96		Televisao	2023-10-05
		Smart Tv Led 75 Ultra Hd 4k Lg 75ur871c0sa Thinq Ai 3 Hdmi 2	1571492413		5480.00		Televisao	2023-10-05
		Smart Tv Samsung 65 Uhd 4k 65cu7700 2023 Processador Crysta	1571333662		4198.96		Televisao	2023-10-05
Oferta	7	Smart Tv Toshiba 43 Polegadas Fhd 43v35l	1570961364		2349.92	2349.90	Televisao	2023-10-05
Oferta	7	Smart Tv 55 Philco 4k Ptv55g52r2c Roku Tv Led Dolby Audio Bi	1570679920		2599.92	2599.90	Televisao	2023-10-05
		Smart Tv Lg 65 4k Oled Evo Com Inteligência Artificial Oled6	1570765744				Televisao	2023-10-05
		Samsung Smart Gaming Tv 50 Neo Qled 4k 50qn90b 2022 Mini Le	1570015725				Televisao	2023-10-05
		Smart Tv Samsung 70 Uhd 4k 70cu7700 2023 Processador Crysta	1571333661		7298.96		Televisao	2023-10-05
		Smart Tv Android Qled 55 Ultra Hd 4k Philco Ptv55m82agcibbl	1570679923		4090.00		Televisao	2023-10-05
Oferta	11	Samsung Smart Tv 65 Qled 4k Q70c 2023 Modo Game Som Em Mov	1571385057		5511.92	5511.89	Televisao	2023-10-05
		Smart Tv 75 4k Lg Nanocell Thinq Ai Alexa Google Assistente 7	1571511319		6998.96		Televisao	2023-10-05
Oferta	22	Smart Tv 65 4k Lg Nanocell Thinq Ai, Alexa, Google Assistente	1571511318		4949.52	4949.50	Televisao	2023-10-05
Oferta	27	Smart Tv 58 Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	1570679924		2899.92	2899.90	Televisao	2023-10-05
