Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	6	Cozinha Completa De Canto Madesa Glamy 349001 Com Armario E B	1567983520	0	2380.00	2237.19	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa De Canto Madesa Glamy 349001 Com Armario E B	1567983542	0	2370.00	2227.79	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Completa De Canto Madesa Glamy 269001 Com Armario E B	1567991010	0	1770.00	1681.49	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Completa De Canto Madesa Glamy 329001 Com Armario E B	1568018752	0	2480.00	2331.19	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Completa De Canto Madesa Glamy 349001 Com Armario E B	1567983569	0	2370.00	2251.49	Cozinhas Completas	2023-10-05
Oferta	7	Cozinha Modulada 4 Pecas 100% Mdf Americana 4a Henn	1571124357	0	2588.96	2589.00	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa 3 Pecas 6 Portas 1 Gaveta One Gralar Teka	1571373385	0	1529.68	1529.70	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa 5 Pecas 9 Portas 1 Gaveta 2 Nichos Para Forn	1571373400	0	2049.52	2049.50	Cozinhas Completas	2023-10-05
Oferta	9	Cozinha Completa 5 Pecas Évelin Com Torre Quente E Aereo Vidr	1571452679	0	2860.00	2860.00	Cozinhas Completas	2023-10-05
Oferta	29	Cozinha Modulada Completa com 5 Pecas 13 Portas 2 Gavetas e V	1570764458	0	1850.16	1850.13	Cozinhas Completas	2023-10-05
Oferta	7	Cozinha Completa Madesa Emilly Sky Com Armario Vidro Reflex E	1566982707	0	1100.00	1022.99	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Completa Madesa Reims 250004 Com Armario E Balcao  P	1568549627	0	1200.00	1139.99	Cozinhas Completas	2023-10-05
Oferta	38	Cozinha Completa De Canto Madesa Reims 452001 Com Armario E B	1567206305	0	2280.00	2279.99	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa Madesa Agata 290001 Com Armario E Balcao se	1567436313	0	2480.00	2231.99	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa Madesa 100% MDF Acordes 2 gavetas 11 Portas	1566691185	0	2300.00	2299.99	Cozinhas Completas	2023-10-05
Oferta	30	Cozinha Modulada Completa com 5 Pecas 13 Portas 2 Gavetas e T	1570764507	0	1755.36	1755.39	Cozinhas Completas	2023-10-05
Oferta	26	Cozinha Completa 100% Mdf Madesa Acordes 250003 Com Armario E	1567905400	0	2000.00	1999.99	Cozinhas Completas	2023-10-05
Oferta	34	Cozinha Compacta Madesa Topazio Com Balcao E Tampo	1566799449	0	980.00	979.99	Cozinhas Completas	2023-10-05
Oferta	14	Cozinha Completa 100% Mdf Madesa Acordes 260003 Com Armario E	1568438781	0	1700.00	1699.99	Cozinhas Completas	2023-10-05
Oferta	32	Cozinha Completa Madesa 100% MDF Acordes de Canto Sem Tampo	1566691182	0	2500.00	2499.99	Cozinhas Completas	2023-10-05
Oferta	38	Cozinha Completa De Canto Madesa Reims 402001 Com Armario E B	1567129411	0	2000.00	1999.99	Cozinhas Completas	2023-10-05
Oferta	9	Cozinha Completa 6 Pecas Évelin Com Torre Quente E Cristaleir	1571452514	0	3916.00	3916.00	Cozinhas Completas	2023-10-05
Oferta	8	Cozinha Completa 6 Pecas Évelin Com Cristaleira  Moveis Henn	1571452312	0	3462.96	3463.00	Cozinhas Completas	2023-10-05
Oferta	10	Cozinha Completa Belize 5 Pecas Com Torre Quente  Moveis Henn	1571479544	0	4016.00	4016.00	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Modulada Connect 12 Pecas Com Cristaleira  Moveis He	1571479758	0	5342.00	5342.00	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Modulada Connect 5 Pecas Com Torre Quente  Moveis He	1571479894	0	2478.96	2479.00	Cozinhas Completas	2023-10-05
Oferta	5	Cozinha Modulada Connect 8 Pecas  Moveis Henn	1571479775	0	4102.00	4102.00	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha 3 Pecas 7 Portas 1 Nicho Veneza Freijo/grafite Intenso	1571422115	0	589.90	589.90	Cozinhas Completas	2023-10-05
Oferta	11	Composicao Cozinha Modulada 6 Pecas Kit 8 Pln	1571514029	0	1839.92	1839.90	Cozinhas Completas	2023-10-05
